latitude,longitude,bg_weight
40.75,28.28,0.36969730582141236
40.82,28.08,0.017014771125120842
41.12,29.36,0.03327271157172551
40.52,27.49,0.02093026816509036
40.82,30.88,0.021402365847976945
40.09,25.66,0.6648467697917426
40.07,27.92,0.5845035567960171
40.37,27.77,0.1957545134940668
40.72,30.62,0.003777592650320072
40.31,28.81,0.0783561934786765
40.57,30.18,0.4839405903372268
40.43,28.77,0.09627948600857839
41.1,29.37,0.006372958560314723
39.88,29.24,0.29242389469885055
39.86,29.24,1.9742078644524597e-05
39.9,29.25,4.456781197703652e-05
39.87,29.26,7.347654312894747e-05
40.8,27.34,0.18763331202162947
39.88,29.25,4.750354082050379e-05
40.71,29.13,0.07338495103258424
40.56,29.06,0.07072499731137549
40.82,29.48,0.0168746082383886
39.89,29.3,0.0012032258896566006
40.3,25.72,0.07084590278276115
39.9,29.28,0.0004178705240522884
39.9,29.26,7.542632442336661e-05
39.87,29.27,0.00030020162560429053
40.08,29.32,0.010267220456899873
39.86,29.21,0.000818307001768992
40.84,27.78,0.04060149913539857
40.47,28.17,0.5127345891222566
40.77,29.48,0.02053709120923053
41.07,28.52,0.6977660181541361
39.88,29.25,0.0002535455500175532
40.13,29.27,0.01811845240524035
39.88,29.21,0.0002623031265929221
40.02,28.89,0.1374793853924433
41.22,28.99,0.059304687662721456
41.09,28.48,0.006034699933346377
39.63,29.4,0.007192853677767119
41.16,29.38,0.02292192887117006
40.56,27.5,0.014991492909911308
40.65,29.11,0.007497370663295921
40.71,29.04,0.00398461641525194
40.2,26.82,0.3040069570982913
39.87,29.24,0.00024213877551082508
40.55,27.4,0.010611120463524637
40.84,29.47,0.006914319175421513
41.14,28.48,0.018799010998635346
40.56,27.76,0.1550806557826364
40.21,28.9,0.13410362816434795
40.71,29.25,0.026366970664982614
41.08,29.36,0.004400389791167081
41.09,29.36,0.00010795872891611324
41.39,28.08,0.900173295024495
41.16,28.86,0.01035805673926915
40.68,30.64,0.015695086631871247
39.83,28.03,0.8174819574473556
40.59,27.49,0.004424388263634227
40.81,27.75,0.014222743389817105
41.17,29.02,0.049089778305872356
41.1,28.84,0.01673683789679903
41.1,29.33,0.001980404987400597
41.17,28.88,0.0019322256954901196
40.26,27.75,0.08168714008168554
40.64,27.82,0.10997688430108277
39.86,29.23,0.00045352075751969867
40.16,28.79,0.025464496450731344
41.02,29.61,0.26687511683197007
40.45,28.44,0.09293704266643055
39.88,29.28,0.000935051573443646
39.87,29.2,0.0010380332481162435
39.85,29.2,0.0005350512050699141
40.22,28.9,0.004411091960409008
40.61,29.09,0.010950933413568231
40.16,28.76,0.005209988076850802
39.84,29.26,0.0017120981769129795
40.45,30.89,0.9315889789069419
40.18,28.11,0.26781744933178464
41.1,29.34,0.001616210997199552
39.9,29.2,0.0026182160410632704
40.85,29.13,0.22374133983202216
40.28,27.64,0.16552343802187053
40.62,27.78,0.025560132051315132
39.87,29.26,0.00047686270040325773
39.87,29.23,0.00032341315285300265
41.14,28.86,0.0036791972633539727
40.18,28.97,0.05523112952308473
40.84,27.93,0.0218630726699085
40.37,27.55,0.02846563359571419
40.69,27.49,0.017710494071823457
40.18,28.29,0.2290754798475585
40.59,28.97,0.050969472740847066
40.98,30.75,0.41048730526083466
40.57,29.26,0.07271626546955412
39.76,30.8,0.07339399878218411
40.62,29.2,0.017124740463922317
40.94,26.37,0.7159540317002826
39.64,28.6,0.07410664440422687
40.33,27.87,0.03366278743090545
40.85,29.47,0.006693827908607841
40.87,28.77,0.02944180634848348
40.78,27.8,0.06782846590923397
40.86,27.78,0.0013833892697344696
40.76,27.31,0.07962964688511154
40.85,28.21,0.08221379860331446
40.0,28.86,0.051266596021947275
40.16,28.09,0.026169798903205033
40.45,26.11,0.00870008705862979
39.78,25.63,0.8841731729738184
40.81,29.48,0.008388800666613072
40.77,29.19,0.0976427450593953
40.74,29.19,0.0030066508349892995
40.05,28.9,0.02996223853345359
39.89,29.26,0.0012680981488659704
39.88,29.21,3.118075585706315e-05
39.7,29.07,0.0993942760268024
40.74,29.19,0.0012872001348099849
39.97,29.03,0.12210683264738564
39.94,28.89,0.00387574986840189
40.5,27.73,0.27093948852987715
40.24,27.81,0.12103919328991342
40.75,27.38,0.014228773796361116
40.65,27.44,0.045632279440537604
